小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
浙港国际(商住),在售,[西湖-申花]紫荆花路与长江路口,二居(3),2018.03.15,"最低31,000元/m²起",160-170万元
西溪新城市(商住),在售,[西湖]文二西路龙章路交叉口,一居(2),2018.03.15,"最低34,000元/m²起",260万元
华策中心,在售,[西湖]杭州市西湖区花蒋路与五常港路交叉口,三居(2),2018.03.13,"均价34,000元/m²",161-255万元
宝嘉誉府,待售,西湖 - 紫荆花路和石祥路交叉口往西100米（石祥西路788号）,三居(3)，四居(1),2018.01.23,售价待定,总价待定
未来天地(写字楼),在售,[余杭]高教路和向往街交叉口东南角,一居(1)，开间(1),2017.11.29,"均价18,000元/m²",126-324万元
奥克斯缔逸城(商住),待售,[余杭-勾庄]余杭古墩路和庄墩路交叉口,不限(2)，二居(1)，三居(4)，四居(2),2018.03.15,售价待定,"17,000元/m²"
锦绣时代(商住),在售,余杭 - 文一西路到底余杭街道禹航路1080号,一居(1)，二居(2)，三居(2),2018.01.24,"最低16,000元/m²起",136-142万元
杭州之翼(商住),在售,[江干]江干区明月桥路与鸿泰路交叉口,二居(1)，三居(1),2018.03.15,"均价32,000元/m²",150万元起
汉峰(商住),售罄,滨江 - 滨盛路(滨盛路与江晖路交叉口西侧),不限(5),,售价待定,总价待定
融创印时代(商住),在售,[萧山]萧山枫香路与戚枫路交叉口 ,一居(2),2018.03.13,"最低20,000元/m²起",106万元
贝利云栖中心(商住),待售,西湖 - 西湖区之江新城320国道与象山路交叉口（东南角）,一居(1)，二居(1)，三居(5)，四居(2),2018.03.15,售价待定,"21,500元/m²"
浙富西溪堂(商住),在售,余杭 - 余杭文一西路口与绿汀路交叉（向北50米） ,一居(2),2018.03.16,"均价26,000元/m²",148万元
东亚新干线(商住),在售,[江干-城东新城]江干天城路与明月桥路交叉口,一居(2)，二居(1),2018.03.15,"最低28,000元/m²起",144-241万元
恒祺克拉天玺(商住),在售,[江干-城东新城]天城路与东宁路交叉口,一居(5)，二居(1),2018.03.13,"最低27,000元/m²起",81-194万元
三花国际(商住),在售,江干 - 明月桥路、鸿泰路交汇处（地铁1、4号线彭埠站A出口）,一居(1)，二居(2),2018.03.13,"最低30,000元/m²起",156-162万元
贺田尚城璟湾,售罄,"滨江 - 六和路365号(六和路上,六和塔正对面)",三居(3)，四居(2),,"均价16,596元/m²",总价待定
O纪元(商住),在售,萧山 - 地铁2号线盈丰路站B出口（奔竞大道与市心北路交叉口）,一居(4),2018.03.15,"均价33,000元/m²",120-140万元
浙港城市公馆,在售,[西湖]西湖西湖科技园,一居(3)，四居(2),2017.11.29,"均价25,000元/m²",113万元
中旅紫金名门,在售,西湖 - 紫荆花路与振华路交叉口杭师大附中对面,不限(1)，三居(3)，四居(3)，五居及以上(1),2018.01.31,"均价40,000元/m²",0万元起
西溪美岸(商住),在售,[余杭]余杭文一西路荆长大道以北300米,二居(2),2018.03.15,"均价22,000元/m²",99-106万元
复泰雅宸华庭(商住),在售,[余杭-老余杭]鸬鸟镇鸬鸟镇政府旁,一居(1),2018.03.08,"均价13,000元/m²",59万元
柏悦公馆(商住),在售,[江干-丁桥]项目北靠临丁路，南临环丁路...,,2018.03.13,"最低18,162元/m²起",79-98万元
绿地G合里金宸(商住),在售,[萧山]金城路与市心路交叉口西南侧,二居(1),2018.03.16,"最低26,000元/m²起",130-180万元
首开杭州金茂府,待售,[拱墅-申花]学院北路与隐秀路交叉口向西200米,,2018.02.07,售价待定,总价待定
未来悦(商住),在售,[西湖]同顺路跟丘桥路交叉口,二居(2)，三居(2),2018.03.15,"最低16,000元/m²起",196-252万元
西溪十九府(商住),在售,[西湖]西湖西湖区留和路—高教大道支四路,一居(2)，二居(2),2018.03.16,"均价23,000元/m²",609-852万元
西溪九号(商住),在售,[西湖-西溪]文二西路与凌波路交叉口（西...,不限(2),2018.03.07,"均价23,000元/m²",总价待定
昆仑华府,在售,[余杭-良渚]东至张家坝港，南至新104...,二居(1)，三居(5)，四居(1),2018.03.05,"最低17,300元/m²起",156万元
