小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
唐宁府,在售,[园区-湖东]苏州工业园区方洲路南、钟南街东,四居(3),2018.03.02,"均价40,800元/m²",675-750万元
路劲澜山澜,在售,园区 - 园区港田路511号（榭雨街与港田路的交汇处）,三居(3)，四居(2),2018.02.28,"均价30,000元/m²",405-525万元
荷澜庭(别墅),待售,新区 - 狮山街道邓尉路北、长江路西（绿宝广场对面）,四居(3),2018.03.15,总价待定,
晋府水巷别墅(别墅),在售,姑苏 - 北园路北和百家巷交界处（拙政园向北400米）,四居(3),2018.03.01,"1,310-1,600万元/套",
正荣悦玲珑,在售,[相城]望亭镇太阳路北、御亭大酒店西,三居(1)，四居(3),2018.03.12,"均价13,000元/m²",124-150万元
月亮湾3号,待售,[园区]八达街99号（星湖街和创苑路交汇处）,三居(1)，四居(2)，五居及以上(1),2018.02.28,售价待定,总价待定
苏州中心8号,在售,[园区-湖东]苏绣路与星阳街交汇处,开间(1),2018.03.14,"均价28,500元/m²",185-422万元
中新翡翠,在售,[园区-青剑湖]青澄路与科营路交界处,二居(4)，三居(1),2018.02.28,"均价23,000元/m²",179-202万元
中锐星奕湾花园,在售,园区 - 独墅湖南松涛街与蔺宜路（原车郭路）交汇处,三居(1)，四居(4),2018.02.27,"均价26,000元/m²",315-369万元
中吴红玺御园,在售,新区 - 永莲路与永安路交汇处（丹景廷对面）,二居(1)，四居(2),2018.03.15,"均价15,000元/m²",117-215万元
华发公园首府(别墅),待售,[姑苏]桐泾南路与胥江路交汇处,,2018.02.23,总价待定,
华发公园首府,待售,[姑苏]桐泾南路与胥江路交汇处,,2018.02.23,售价待定,总价待定
南环汇邻广场(商办),在售,姑苏 - 南环东路北、南园路西（南环新村附近）,开间(1),2018.03.01,"均价13,000元/m²",52万元
万科北宸之光,在售,[相城]相城区御窑路与安元路交汇,二居(1)，三居(5)，四居(4),2018.03.06,"均价17,500元/m²",170-222万元
佳兆业君汇上品,在售,相城 - 相城黄桥街道苏埭路东、兴业路南（活力岛西1000米）,二居(1)，三居(3)，四居(3),2018.03.12,"均价16,000元/m²",184-228万元
丰隆城市中心(商办),在售,园区 - 旺敦路与思安街交汇处（园区管委会附近）,开间(5),2018.03.14,"均价25,000元/m²",138-353万元
三千邑,在售,[吴江-松陵]苏州市江陵东路689号,三居(6)，四居(4),2018.03.14,"均价16,000元/m²",158-243万元
天房心著华庭,在售,[新区]塔园路与竹园路交汇处,三居(1)，四居(2),2018.03.15,"均价33,000元/m²",416-462万元
恒基旭辉城,在售,[新区]文昌路/大同路交界处,二居(4)，三居(3)，四居(1),2018.03.15,"均价18,000元/m²",224-273万元
金地名悦,在售,[新区]苏州高新区何山路350-1号,三居(3)，四居(2),2018.03.15,"均价20,000元/m²",188-282万元
景山玫瑰园,在售,新区 - 华山路与支英街交汇处（新创大河山北侧）,二居(2)，三居(4)，四居(1),2018.03.15,"均价19,000元/m²",239-304万元
巴黎春天,在售,[相城-高铁新城]太平街道聚金路元春路口东,二居(2)，三居(4)，四居(2),2018.03.07,"均价13,000元/m²",120万元
湖畔樾山,待售,[相城]相城区阳澄湖镇湘洲路8号,三居(5)，四居(1),2018.03.07,"均价13,000元/m²",116-174万元
建发泱誉,在售,相城 - 高铁新城青龙港路18号（青龙港路与修远路交汇处、苏大实验学校...,二居(1)，三居(3)，四居(12),2018.03.12,"均价26,000元/m²",291-444万元
金辉尊域雅苑,待售,[园区-湖东]敦煌路9号（斜塘学校东）,三居(2)，四居(2),2018.02.28,售价待定,总价待定
悦东区(商办),在售,[园区-湖东]双圩路105号,开间(9),2018.03.10,"均价17,000元/m²",83-165万元
东方之门(商办),在售,[园区-湖西]星港街199号,开间(4),2018.03.10,"均价40,000元/m²",360-800万元
东方之门,在售,[园区-湖西]星港街199号,三居(1)，四居(1)，五居及以上(2),2018.03.10,"均价50,000元/m²","1,300-2,700万元"
旺墩道135,在售,[园区-湖东]园区华池街与旺墩路交汇口,,2018.02.28,"均价18,500元/m²",总价待定
中新领袖天地(商办),在售,[园区]园区胜浦路258号（胜浦路东强胜路北）,,2018.02.28,"最低7,000元/m²起","56-1,200万元"
联合广场(商办),在售,[园区-湖东]星湖街阳澄湖大道交汇处,开间(3),2018.02.28,"最低13,000元/m²起",144-374万元
红星国际生活广场(商办),在售,吴中 - 长江路与南环延长线（苏福路）交汇处,三居(2)，四居(1)，开间(1),2018.03.14,"均价11,000元/m²",40-750万元
华润悦府,在售,吴江 - 芦荡路南侧、花园路西侧、龙河路北侧、规划支路东侧,二居(4)，三居(1)，四居(1),2018.03.16,"均价13,000元/m²",137-164万元
仁恒棠悦湾,在售,[新区]滨河路与横山路交汇处,二居(1)，三居(3),2018.03.15,"最低33,000元/m²起",363-462万元
雅戈尔紫玉花园,在售,[相城]齐门北大街与阳澄湖西路交界处,三居(2)，四居(2),2018.03.15,"均价22,000元/m²",198万元
非凡环秀湖花园,在售,相城 - 澄阳路1299号（地铁二号线骑河站二号口）,二居(5)，三居(7)，四居(2),2018.03.15,"最低20,000元/m²起",178-292万元
吴中万达晶座,在售,[吴中-石湖越溪]石湖路友新路交叉口处,开间(3),2018.03.10,"均价14,000元/m²",53-90万元
阳光天地(商办),在售,吴中 - 吴中经济开发区郭新东路南侧、尹山湖路西侧,开间(1),2018.03.13,"均价15,000元/m²",81-97万元
绿地苏州ONE,在售,[吴江-松陵]江陵东路&庞北路交界,三居(4)，四居(3),2018.03.15,"均价16,000元/m²",160-257万元
苏高新天城花园,在售,[吴江]吴江区长板路1号（吴江汽车站对面）,二居(2)，三居(4)，五居及以上(2),2018.03.07,"均价12,600元/m²",130-322万元
K2海棠湾,在售,[吴江]中山北路1355号,一居(1)，三居(7),2018.03.06,"均价17,500元/m²",172-235万元
新城招商香溪源,在售,吴江 - 苏州吴江区兴吴路与鲈乡北路交叉口,三居(4)，四居(2),2018.03.14,"均价17,500元/m²",189万元
