小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
世豪嘉柏(公寓),在售,[武侯]武科东二路（武侯国税正对面）,,2018.02.26,"最低11,000元/m²起",36-88万元
金隅大成珑熙郡,待售,[武侯]武侯立交聚龙路与万兴路交汇处,二居(3)，三居(7)，四居(3),2017.07.19,售价待定,总价待定
中环晓院,待售,[武侯]武侯区中环路与永顺路交汇处,三居(5)，四居(3),2017.11.22,售价待定,总价待定
华瑞中心(写字楼),在售,[武侯]武侯云霞路56号,,2017.07.04,售价待定,总价待定
新希望锦悦楠庭,待售,[武侯]武兴路和金江路交汇处（川大附小旁）,三居(3)，四居(1),2018.02.02,售价待定,总价待定
中筑西府兰庭(商铺),在售,[武侯]成都市武侯区福锦路一段669号,,2018.02.28,"最低18,000元/m²起",总价待定
成都国际皮革城(商铺),在售,[武侯]鞋都南路8号,,2017.07.17,售价待定,总价待定
西派城,待售,[武侯]武侯大道铁佛段与万兴路交叉口,三居(2)，四居(5)，五居及以上(1),2017.11.22,售价待定,总价待定
大合仓星商界(写字楼),在售,[武侯]武侯星狮路(西三环路一段内侧）,,2017.07.17,售价待定,总价待定
中港CCPARK(公寓),在售,[锦江]二环路与琉璃路交汇处,开间(7),2017.12.28,"均价18,000元/m²",67-130万元
小春熙(公寓),在售,[锦江]春熙路西段旁,一居(2),2018.03.14,"均价30,000元/m²",158-175万元
恒大望江华府(公寓),待售,锦江 - 攀成钢东大路下沙河铺街和大凉山路交界处（塔子山公园旁）,不限(7)，一居(2),2018.02.28,"均价19,000元/m²",130-299万元
优博中心(写字楼),在售,[武侯]武侯大道双星大道口铁佛段1号,,2017.07.17,售价待定,总价待定
双楠悦天地,待售,[武侯]二环路与武侯大道交汇处(伊藤双楠...,,2018.02.02,售价待定,总价待定
望江名门(公寓),在售,[锦江]三官堂街与龙舟路交汇处,,2018.03.01,"均价44,500元/m²","1,300万元起"
Cosmo天廊(公寓),在售,[锦江]上沙河铺街66号（地铁2号线塔子...,,2017.11.17,"均价35,000元/m²",总价待定
蓝光雍锦世家,在售,[武侯]永顺路38-附1号,五居及以上(2),2017.07.11,"均价24,000元/m²",总价待定
鞋都风尚中心(商铺),在售,[武侯]鞋都南路139号,,2018.02.28,"最低20,000元/m²起",60万元起
小春熙(商铺),在售,[锦江]锦江区中新街49号,,2018.03.07,"最低40,000元/m²起",总价待定
首开龙湖天璞,待售,[锦江]东南三环外牡丹街（杨树街和茶花街...,,2017.07.04,售价待定,总价待定
华熙528艺术村,待售,锦江 - 成龙大道与银木街(成都七中育才学校三圣分校)交汇处,二居(1)，三居(8)，四居(3),2017.06.12,售价待定,总价待定
首创娇子1号(别墅),在售,[锦江]南三环娇子立交外侧,不限(2)，三居(7)，四居(1),2017.07.18,总价待定,
绿岛筑,待售,锦江 - 成龙大道与银杏大道交汇处（白桦林路999号）,二居(2)，三居(13)，四居(2),2017.06.19,售价待定,总价待定
新希望锦官阁(别墅),待售,[锦江]静康路与静沙北路交汇处,三居(2)，四居(2),2017.06.12,总价待定,
昆仑华庭二期,在售,[锦江]锦兴路前卫街12号（财富中心旁）,一居(3)，二居(2)，三居(1),2017.06.27,售价待定,总价待定
星汇广场,在售,[锦江]东御街88号,,2017.07.06,"均价25,000元/m²",总价待定
香山长岛(公寓),待售,[成华]长融东三路155号,一居(2),2017.11.08,"均价9,800元/m²",37-42万元
融锦城(公寓),在售,成华 - 羊子山路88号（洪山路与驷马桥路交叉口处）,一居(2),2018.01.16,"均价13,000元/m²",74-78万元
泛悦城市广场(商铺),在售,成华 - 昭觉寺横街与川陕路交汇处（环昭觉寺南路（昭觉寺横路段）,开间(1),2018.02.24,"最低30,000元/m²起","223-1,176万元"
招商中央华城,待售,[成华]东郊记忆旁成华大道与中环路交汇处,二居(1)，三居(7)，四居(2),2017.12.29,售价待定,总价待定
香山长岛,待售,[成华-万年场]长融东三路155号,不限(3)，三居(3)，四居(1)，五居及以上(1),2017.08.22,售价待定,总价待定
青秀未遮山,待售,[成华]新八里庄61号（红星路源点）,三居(2)，四居(3),2018.01.19,售价待定,总价待定
恒大锦城(别墅),待售,成华 - 东三环路东一段桂林西路18号（龙潭路与桂林西路交汇处200米...,三居(11)，四居(4)，五居及以上(2),2017.06.07,总价待定,
首创天禧68,待售,[成华]二环路东一段25号,二居(1)，三居(3)，四居(2)，五居及以上(1),2017.12.29,售价待定,总价待定
