小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
华纺和成未来派,待售,[金山-亭林]金山 夏宁路与九工路交口,二居(1)，三居(2),2018.01.28,售价待定,总价待定
绿地东海岸财富广场,待售,[金山-金山新城]金山学府路1581号（...,一居(1)，三居(1),2017.08.25,"均价12,000元/m²",74-103万元
御龙锦园,待售,[金山-金山新城]金山海丰路128号（近...,二居(2),2017.04.14,"均价22,000元/m²",180-224万元
合生财富海景公馆,在售,[金山-金山新城]金山龙胜路69弄（近杭...,不限(1)，二居(1)，三居(1),2017.07.05,"均价28,000元/m²",232-266万元
海悦馨苑,未售,[金山-金山新城]金山东至海盛路，南至龙...,,2017.04.12,"均价22,000元/m²",总价待定
中冶枫郡别墅,未售,[金山-松江南部]上海市金山区泾波路318弄6号,,2017.04.01,总价待定,
澜庭,在售,[金山-亭林]夏宁路与博海路交叉口,,2017.07.05,"均价19,000元/m²",总价待定
中冶枫郡,待售,[金山-松江南部]金山枫泾镇泾波路318弄6号,三居(1)，四居(1),2017.03.02,"均价14,000元/m²",总价待定
正荣璟园,在售,[金山-亭林]金山 枫泾镇泾波路与枫湾路...,二居(2)，三居(1),2017.07.05,"均价21,500元/m²",172-280万元
华丰格兰郡,待售,[金山-枫泾]金山枫泾镇白牛路1068弄(近枫塘路),三居(1),2017.03.16,"均价14,000元/m²",172万元
上海新天鸿高尔夫社区,待售,[金山-朱泾]金山金石北路6666号（近...,三居(1)，四居(1),2017.04.07,"均价18,000元/m²",207-284万元
正荣御首府,在售,[金山-金山新城]金山龙轩路1998弄1...,不限(1)，二居(6)，三居(3),2017.07.05,"均价24,000元/m²",220-320万元
优山美地,在售,[金山-亭林]上海市金山区朱吕公路与红光...,二居(3)，四居(1),2017.04.17,"均价16,000元/m²",248万元
湖山香颂湾,在售,[金山-金山新城]金山蒙山北路500号（...,二居(1)，三居(2)，四居(1),2017.04.12,"均价30,000元/m²",261-381万元
毕加索花园小镇,在售,[金山-金山中部]张堰康德路358弄,三居(2),2017.07.05,"均价21,000元/m²",265-275万元
万业紫辰苑,在售,[宝山-杨行]宝山江杨北路1568弄(铁印路以北),二居(1)，三居(2)，四居(1),2018.02.28,"均价40,000元/m²",568万元
雍和府,待售,[宝山-罗泾]宝山区潘泾路5777弄（潘...,三居(2),2018.02.28,售价待定,"40,000元/m²"
大华·碧云天,待售,[宝山-大场]宝山华和路336号,二居(2)，三居(4),2018.03.14,售价待定,总价待定
保利熙悦,待售,[宝山-大场]上海市宝山区丰翔路 ,三居(3)，四居(2),2018.03.13,"均价51,000元/m²",479-627万元
中环国际公寓,在售,[宝山-张庙]上海市宝山区场北路559弄,一居(2)，二居(1)，三居(7),2018.02.28,"最低56,000元/m²起",812万元起
招商·中环华府（别墅）,在售,[宝山-大场]宝山环镇北路文海路路口,四居(1),2018.02.28,580-892万元/套,
滨江公园壹号,待售,[宝山-大场]上海市宝山区华秋路666号,三居(2)，四居(2),2018.02.28,售价待定,563万元
正荣国领,在售,[宝山-罗店]抚远路美兰湖大道路口 ,三居(3)，四居(2),2018.02.23,"580-2,500万元/套",
中铁北城时代,在售,[宝山-杨行]宝山区杨行镇友谊路2429号,三居(2)，四居(1),2018.02.28,"均价42,000元/m²",378-504万元
大华朗香花园,待售,[宝山-大场]祁真路160弄（近祁连山路）,二居(2)，三居(3)，四居(1),2018.02.28,"均价54,000元/m²",648-702万元
中国铁建青秀城,待售,[宝山-顾村] 宝山区宝安公路933号（...,二居(1)，三居(5)，四居(1),2018.03.07,售价待定,总价待定
滨江公园壹号别墅,未售,[宝山-大场]上海市宝山区华秋路666号,,2018.02.28,总价待定,
上海长滩,在售,[宝山-淞宝]上海市宝山区牡丹江路,二居(2)，三居(3)，四居(1),2018.02.28,"均价55,000元/m²",913万元
永泰亚洲宫园巧筑,待售,[宝山-罗店]宝山抚远路993号,四居(2)，五居及以上(1),2018.02.28,803-947万元/套,
经纬城市绿洲五期学士逸居家园,在售,[宝山-大场]上海市宝山区纬地路,二居(2)，三居(2)，四居(1),2018.02.28,"均价50,000元/m²",665万元
同济融创玫瑰公馆,在售,[闵行-古美罗阳]上海市闵行区莲花路1330号,三居(4)，四居(1),2018.03.13,"均价69,000元/m²",662-994万元
浦江坤庭,在售,[闵行-浦江]闵行区浦江镇浦雪路1180弄1号-24号,二居(1)，三居(5),2018.03.15,"均价60,000元/m²",666-936万元
紫竹半岛,待售,[闵行-吴泾]闵行东川路333弄（近虹梅南路）,一居(1)，二居(1),2018.03.13,售价待定,总价待定
禹洲府,在售,[闵行-马桥]闵行马桥富国路199弄（富...,二居(1)，三居(1),2018.02.28,"均价45,000元/m²",340万元起
万科公园大道,在售,[闵行-马桥]闵行区华宁路银春路交汇处,一居(1)，二居(2)，三居(1)，四居(1),2018.03.15,"均价48,000元/m²",456-630万元
宝华源墅,待售,[闵行-浦江]浦江镇三鲁路5588号（近林恒路）,三居(3)，四居(1),2018.02.28,"1,157-1,287万元/套",
华府天地愉园,待售,[闵行-马桥]闵行马桥昆阳北路3688弄 ,四居(2),2018.02.28,总价待定,
凤凰城,在售,[闵行-江川路]闵行景谷中路58弄（近石屏路）,二居(1)，三居(1),2018.02.28,"均价50,000元/m²",525-650万元
金辉海上铭著,待售,[闵行-莘庄]莘朱路以北，沪金高速以东，...,三居(1),2018.02.28,售价待定,总价待定
春申景城MID-TOWN,待售,[闵行-梅陇春申]莲花南路999号,四居(2),2018.02.28,售价待定,总价待定
上海桃花源,待售,[闵行-浦江]浦锦街道江桃路浦申路,,2018.02.28,总价待定,
卓越维港,待售,[闵行-马桥]闵行区银春路富岩路路口,三居(1),2018.02.28,售价待定,总价待定
TODTOWN天荟悦麓,待售,[闵行-莘庄]莘建东路188号（水清南路...,二居(1),2018.02.28,售价待定,总价待定
荣信·虹桥世嘉,在售,[闵行-金虹桥] 虹梅路2159弄1-34号,三居(1)，四居(1)，五居及以上(1),2017.11.03,"均价75,000元/m²","2,625万元"
万源城御璄,在售,[闵行-古美罗阳]闵行区古龙路588号,四居(5),2018.03.07,"均价90,000元/m²","3,672万元"
盛世御珑湾,在售,[杨浦-新江湾城]闸殷路889弄（近殷高东路）,二居(3)，三居(1),2018.01.19,"均价80,000元/m²","1,064万元"
133世界广场,在售,[杨浦-五角场]杨浦世界路133号,,2017.08.25,"均价35,000元/m²",总价待定
东外滩1号,待售,[杨浦-东外滩]内江路16弄（近波阳路）,二居(5),2017.07.01,售价待定,总价待定
阳光城滨江悦,待售,[杨浦-东外滩]齐齐哈尔路龙江路,三居(2)，四居(1),2018.02.25,售价待定,总价待定
嘉誉天荟,未售,[杨浦-新江湾城]杨浦上海市杨浦区殷行路...,,2017.03.14,售价待定,总价待定
华发公馆,未售,"[杨浦-东外滩]杨浦隆昌路与长阳路交汇处
",三居(1),2017.04.13,售价待定,总价待定
国正中心,未售,"[杨浦-五角场]杨浦区政立路499号 
",开间(1),2017.08.25,"均价35,000元/m²",455万元
东外滩17公馆,在售,[杨浦-东外滩]杨浦杨树浦路2893号（...,三居(1)，四居(2),2017.08.25,"均价65,000元/m²","1,118-1,723万元"
泰宝公爵府,在售,[杨浦-新江湾城]杨浦新江湾城淞沪路789号,四居(1)，五居及以上(1),2017.02.06,"均价50,000元/m²","1,275-1,375万元"
翡丽甲第,待售,[杨浦-东外滩]上海市杨浦区长阳路609号,三居(4)，四居(2),2017.03.06,"均价95,000元/m²","1,387-2,280万元"
八埭头滨江园,未售,[杨浦-东外滩]杨树浦路633号,二居(1)，三居(1),2016.12.06,售价待定,"2,025-3,600万元"
祥生御江湾别墅,在售,[杨浦-新江湾城]国权北路1188弄,五居及以上(1),2017.04.01,"2,400万元/套",
嘉誉湾,在售,[杨浦]杨浦区淞沪路1888号,五居及以上(2),2017.03.14,"均价80,000元/m²","2,500-2,800万元"
新江湾城首府别墅,在售,[杨浦-新江湾城]国秀路88弄,四居(1)，五居及以上(1),2017.02.06,"3,800-3,950万元/套",
中建大公馆,在售,[杨浦]杨浦区江湾城路899号（近国秀路）,五居及以上(1),2017.03.20,"6,000万元/套",
建邦16区二期,待售,[虹口-四川北路]虹口天宝路488号（近天镇路）,二居(2)，三居(2)，四居(1),2017.12.31,售价待定,总价待定
瑞虹新城·悦庭,待售,[虹口-四川北路]虹口临平路225号（近瑞虹路）,一居(1)，三居(2)，四居(2),2018.02.24,售价待定,总价待定
外滩188,在售,[虹口-四川北路]虹口东余杭路333号,三居(2),2017.04.10,"均价80,000元/m²","1,376-1,464万元"
宏惠花苑二期,售罄,[虹口-北外滩]惠民路297号附近,三居(1),2016.06.24,"均价64,000元/m²",总价待定
融创香溢花城,在售,[普陀-光新]石泉东路239号近光新路口,二居(1)，四居(2),2018.01.19,"均价98,000元/m²","1,656万元"
中骏天悦,在售,[普陀-真如]上海市普陀区兰溪路900弄,三居(1)，四居(1),2018.01.26,"均价105,000元/m²","1,239-1,355万元"
一品国际,待售,[普陀-光新]普陀中山北路浦发广场1737号A10,开间(10),2017.07.01,"均价75,000元/m²",总价待定
中鹰黑森林,待售,[普陀-万里]普陀真华路399号,三居(4)，五居及以上(2),2017.04.07,"均价110,000元/m²",总价待定
玉晖8号,未售,"[普陀-武宁]白玉路678弄（近光复西路）
",,2017.02.08,售价待定,总价待定
绿地海珀玉晖,待售,[普陀-武宁]白玉路678弄(近光复西路）,三居(2)，四居(1),2018.02.25,售价待定,总价待定
沁和园,在售,[普陀-长风]上海市普陀区丹巴路382号...,三居(2)，四居(1),2018.03.02,售价待定,总价待定
智富中环尚城（商办）,待售,[普陀-桃浦]上海市普陀区古浪路188号 ,二居(3)，四居(1),2017.04.07,"均价55,000元/m²",303-825万元
高尚领域行政公馆二期,待售,[普陀-真如]普陀礼泉路700弄,三居(3)，四居(1),2017.09.15,"均价90,000元/m²","936-1,485万元"
融创香溢天地,在售,[普陀-光新]普陀石泉东路168弄（近交通路）,三居(1),2017.04.05,"均价63,000元/m²",977万元
宝华城市之星,在售,[普陀-光新]石泉路18弄,二居(2)，三居(2),2018.02.24,"均价98,000元/m²","980-1,049万元"
金沙御墅,在售,[普陀-长征]上海市普陀区金沙江路2009号,五居及以上(1),2018.03.02,"1,440万元/套",
品尊国际,在售,[普陀-光新]铜川路52号（近岚皋路口）,三居(1)，四居(2),2017.02.06,"均价100,000元/m²","1,560-2,600万元"
西康路989,待售,[普陀-长寿]普陀西康路989弄,四居(2)，五居及以上(1),2017.03.13,"均价90,000元/m²","1,593-2,277万元"
大华清水湾花园三期华府樟园,在售,[普陀-武宁]普陀凯旋北路1555弄36号,四居(1)，五居及以上(1),2017.04.17,"均价95,000元/m²","3,420-4,085万元"
大宁金茂府,待售,[静安-大宁]闸北彭江路399弄(近平型关路),二居(1)，三居(2)，四居(1),2018.01.19,售价待定,总价待定
静安慕舍,在售,[静安-华漕] 广延路1199弄,三居(1)，四居(2),2018.01.19,"均价76,000元/m²","684-1,239万元"
静安府,在售,[静安-彭浦]汶水路平陆路路口,三居(3)，四居(1),2018.01.19,"均价90,000元/m²","808-1,215万元"
圣和静安公馆,在售,[静安-不夜城]山西北路399弄（海宁路口）,二居(1)，三居(2),2018.02.25,"均价110,000元/m²","968-1,551万元"
华侨城苏河湾塔尖,在售,[静安-不夜城]北苏州路912号（近山西北路）,三居(1),2018.02.24,"均价190,000元/m²","5,320万元"
中冶梦想荟,待售,[静安-大宁]灵石路1109号,一居(1)，二居(1)，三居(1),2017.03.13,"均价50,000元/m²",总价待定
和源大楼写字楼,在售,[静安-大宁]上海市静安区平型关路18号 ,,2017.01.22,"均价40,000元/m²",总价待定
静安康鑫家园,待售,[静安],,,售价待定,总价待定
苏河融景,待售,[静安-不夜城]闸北恒丰路318弄,四居(1),2017.04.11,"均价74,000元/m²",总价待定
万科翡翠雅宾利,待售,[静安-不夜城]中华新路199弄（近宝昌路）,三居(1)，四居(1)，五居及以上(1),2018.01.27,售价待定,总价待定
九龙仓静安壹号,未售,[静安-南京西路]上海市静安区万航渡路398号,,2017.04.06,"均价120,000元/m²",总价待定
和一大厦,在售,"[静安-江宁路]江宁路420号
",开间(1),2017.04.05,"均价33,000元/m²",934万元
企业公馆,待售,[静安-不夜城]上海市共和路219号,三居(3),2017.04.11,"均价50,000元/m²","1,015-1,300万元"
新湖青蓝国际,在售,[静安-不夜城]青云路350弄,三居(3),2017.04.11,"均价80,000元/m²","1,182-1,199万元"
静安府(别墅),在售,[静安-彭浦]汶水路平陆路路口,三居(1),2018.02.25,"1,700-2,000万元/套",
高和海德公馆,待售,[长宁-中山公园]上海市长宁区长宁路833号,一居(1)，二居(1)，三居(1),2017.11.16,售价待定,总价待定
申亚时代广场,未售,[长宁-西郊]长宁天山西路18号（天山西...,,2017.04.07,"均价40,000元/m²",总价待定
绿城静安公馆,待售,[长宁-新华路]长宁江苏路736号 ,三居(2)，开间(1),2017.04.07,"均价96,000元/m²","1,526-2,410万元"
朗诗新西郊,在售,"[长宁-西郊]长宁区青溪路770弄25号
",三居(3)，四居(2),2017.04.10,"均价120,000元/m²","2,160-2,784万元"
淮海名邸,在售,[长宁-新华路]长宁区安顺路58弄,三居(7)，四居(1),2017.04.07,"均价130,000元/m²","2,197-3,731万元"
复地御西郊,在售,[长宁-西郊]上海市长宁区金浜路188弄...,四居(1)，五居及以上(2),2017.02.04,"均价90,000元/m²","2,790-4,320万元"
华山夏都苑,在售,[长宁-新华路]幸福路211弄（近平武路）,四居(1),2017.02.10,"均价130,000元/m²","4,524万元"
尚泰里,售罄,[长宁-中山公园] 东诸安浜路103号,一居(1)，二居(1),2018.03.02,售价待定,总价待定
西郊299,售罄,[长宁-西郊]上海市长宁区青溪路299弄 ,,2016.11.21,总价待定,
趣园,售罄,[长宁-西郊]虹桥路2222弄55号,三居(2),2017.02.13,"均价70,000元/m²",总价待定
竞衡古北88大厦,售罄,[长宁-古北]上海市长宁区荣华东道88号409室 ,二居(1)，三居(1),2017.03.13,"均价80,000元/m²",总价待定
中星美华村,售罄,[长宁-古北]上海市长宁区中山西路1350号 ,三居(1),2015.12.23,"均价65,000元/m²",总价待定
朗诗虹桥绿郡,售罄,[长宁-中山公园]中山西路699号（近武夷路）,二居(1)，开间(1),2016.07.06,"均价65,000元/m²",总价待定
长宁88金廷,售罄,[长宁-中山公园]长宁长宁支路125弄（...,四居(1),2016.11.23,"均价83,000元/m²",总价待定
宝华紫薇花园,售罄,[长宁-虹桥]上海市长宁区威宁路123号 ,二居(1)，三居(1),2016.05.27,"均价85,000元/m²",总价待定
嘉御庭,待售,[徐汇-衡山路]建国西路288,二居(1)，三居(2),2018.01.19,售价待定,总价待定
尚汇豪庭,待售,[徐汇-田林]徐汇区华石路88弄,二居(1)，三居(2)，四居(3),2018.01.26,售价待定,总价待定
金巢铂瑞阁,待售,[徐汇-枫林]徐汇合宝路30号,开间(3),2017.11.16,售价待定,504万元
中信君廷,在售,[徐汇-龙华]徐汇区宛平南路1188号,三居(2)，四居(1),2017.04.11,"均价120,000元/m²","2,736万元"
