小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
金科天元道,待售,[渝北-大竹林]斑竹路8号,一居(1)，二居(9)，三居(10)，四居(3),2018.03.07,"均价15,000元/m²",166-175万元
碧桂园嘉誉(公寓),在售,渝北 - 龙溪街道星辰支路1号（新牌坊福特安福汽车4S店旁）,开间(1),2018.02.22,"均价13,500元/m²",36-60万元
联发龙洲湾1号,待售,巴南 - 重庆市巴南区龙洲湾商圈海洋公园旁·联发丨龙洲湾1号,二居(6)，三居(2)，四居(4),2018.03.07,售价待定,总价待定
远洋九公子,待售,渝北 - 西照母山九曲河湿地公园轻轨站旁,三居(4)，四居(7)，五居及以上(1),2018.03.07,"均价16,500元/m²",173-180万元
启迪协信星澜汇,待售,[巴南-鱼洞]尚文大道207号,二居(14)，三居(12),2018.03.07,"最低7,600元/m²起",总价待定
鲁能南渝星城,在售,[巴南-鱼洞]箭河路600号,一居(4)，二居(7)，四居(1),2018.03.07,"均价7,600元/m²",66-84万元
荣盛华府,在售,[南岸]重庆市茶园新区天文大道,四居(1),2018.03.14,"均价13,300元/m²",166万元
紫御江山,待售,[江北-江北嘴]北滨二路537号,二居(11)，三居(22)，四居(3)，五居及以上(2),2018.03.14,售价待定,"18,500元/m²"
金茂国际生态新城,待售,渝北 - 公园西路（公园西路与同茂大道交汇）,二居(2)，三居(9)，四居(1),2018.02.24,售价待定,总价待定
庆隆南山高尔夫国际社区,在售,[南岸-茶园新区]玉马路1号,,2018.03.16,"最低8,300元/m²起",20-57万元
恒大同景国际城,在售,[南岸-茶园新区]南岸新行政中心对面,二居(4)，三居(10),2018.03.14,"最低8,097元/m²起",185万元
保利堂悦,待售,[南岸]重庆市南岸区刘家坪轻轨站旁,,2018.03.14,售价待定,总价待定
中交漫山,在售,[南岸-茶园新区]梨花大道39号,不限(6)，二居(4)，三居(6)，四居(4)，五居及以上(2),2018.03.14,"均价12,000元/m²",118-127万元
中国铁建万国城68號,在售,[南岸-茶园新区]梨花大道570号,三居(2)，四居(2)，五居及以上(1),2018.03.14,"均价13,000元/m²",133万元
金辉御江府,在售,[南岸-南滨路]铜元道商业旁,三居(22)，四居(6)，五居及以上(1),2018.03.14,"最低19,000元/m²起",125-222万元
升伟一里南滨,待售,[南岸-南坪]南坪东路二巷,,2017.08.14,售价待定,总价待定
鸿笙苑,在售,[南岸-茶园新区]天文大道99号,一居(2)，二居(7),2017.11.23,"均价12,000元/m²",70-235万元
皇冠国际（住宅）,在售,[南岸-南滨路]中段（海底世界旁）,二居(2)，三居(3)，四居(1)，五居及以上(1),2017.07.24,"均价18,000元/m²",130万元
鸿笙苑(别墅),在售,[南岸-茶园新区]天文大道99号,一居(2)，二居(7),2017.11.23,230万元/套,
庆隆南山高尔夫国际社区(别墅),在售,[南岸-茶园新区]玉马路1号,不限(4),2017.08.15,462-602万元/套,
雅居乐御宾府(公寓),待售,[大渡口-双山]双山路306号,不限(5)，一居(2)，二居(1)，三居(9)，四居(4),2017.07.06,售价待定,总价待定
金融街融景城,待售,江北 - 黄花园大桥往嘉陵江大桥方向前行300米,一居(2)，二居(6)，三居(3),2018.03.14,售价待定,"19,500元/m²"
桥达蓝湾半岛,在售,渝北 - 重庆市两江新区空港工业园区空港大道（木耳公租房正对面）,一居(2)，二居(3)，三居(1),2018.03.06,"均价11,500元/m²",66-102万元
中交漫山(别墅),在售,[南岸-茶园新区]梨花大道39号,不限(6)，二居(4)，三居(6)，四居(4)，五居及以上(2),2017.08.10,总价待定,
鲁能领秀城,在售,[南岸-茶园新区]天文大道17号,不限(3)，一居(3)，二居(11)，三居(12)，四居(3)，五居及以上(3),2017.08.15,售价待定,总价待定
